id,create_time,name,message,type,link,comments,reactions,shares
1556276644616898_1757776137800280,2017-04-11 01:55:29,,"🔊注意！
目前iOS裝置上遊戲設定中，🔇關閉音樂的狀態下，
記憶小島「啦啦隊歡呼戰中取得勝利」任務將無法正常執行。

*跑跑薑餅人設定 → 音效設定 → ✔勾選「音樂」，記憶小島任務即可正常執行。

以上錯誤問題將盡快進行修復，遊戲中造成不便，非常抱歉。",status,,60,101,
1556276644616898_1757478827830011,2017-04-11 01:24:10,Timeline Photos,"遊戲更新囉！
還有水晶等著你哦～！！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1757478827830011/?type=3,68,236,2.0
1556276644616898_1756107674633793,2017-04-08 11:00:00,Photos from 跑跑薑餅人：烤箱大逃亡's post,🎬 把握英雄餅乾記憶的最後時光～💫,photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1756107274633833/?type=3,26,108,
1556276644616898_1756010774643483,2017-04-07 05:03:00,,"📅 更新內容預告
幫餅乾們換新衣吧✨
COMING SOON！",video,https://www.facebook.com/cookierunzh/videos/1756010774643483/,49,315,3.0
1556276644616898_1755529368024957,2017-04-06 04:30:49,Timeline Photos,"📅  更新內容預告

某個餅乾＆寵物正在逼近中！！
COMING SOON！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1755529368024957/?type=3,39,368,6.0
1556276644616898_1754965701414657,2017-04-05 04:41:06,Timeline Photos,"🌸春天造句小活動🌸 得獎名單出爐！

1⃣ 達成500按讚數，送給大家💎 300顆水晶優惠券喲 !
＊優惠券序號：SPRI-NGIS-HERE-2017
＊每個帳號限使用1次
＊優惠券登記期限：4/30 23:00
＊前往下列網址登入優惠券序號：
https://www.cookierun.com/zh-tw/coupon

2⃣ 感謝所有玩家熱情參與～3000顆水晶幸運中獎兒
10位加碼至20位❗❗

【3000顆水晶得獎名單】
喬治 (春季將來 天天開心玩薑餅)
王世宏 (春風少年。天高地厚)
陳其賢 (春天來了 天天都開心)
Pak Lok Ho (春天清明節拜祭先人 天氣惡劣真是氣死人)
黃順章 (春花秋月 天理不容)
Nitar Lin (春意盎然 天天跑跑薑餅人跑到忘我)
汪采薇 (春夏秋冬 天天手拿低頭玩跑跑薑餅人)
洪正浩 (春天找不到 天也惋嘆你)
王月佳 (春來我的媽 天天熬夜玩跑跑)
Xu Bo Zhi (「春」神來了「天」知道)
鍾雅芸 (春天的吶喊 天雨路滑 小心駕駛)
李怡倩 (春）去秋來（天）天想你)
王佩如 (春蠶到死絲方盡 天天薑餅玩盡興)
Junyi Shen (「春」很多時間「天」天薑餅人)
Saffi Ting (春宵一刻值千金，天長地久水晶一秒計費)
李紹均 (春季祭 天天送傳奇餅乾)
劉烜佑 (春天後母臉 天下無不是的父母)
張婉鳳 (春夏秋冬 天天都要玩跑跑薑餅人!)
葉彥穎 (春夏秋冬 天氣異常)
HengYi Su (春秋戰國 天天薑餅人大戰)

＊以上得獎玩家請留意✉私訊哦！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1754965701414657/?type=3,81,880,21.0
1556276644616898_1754114648166429,2017-04-04 03:00:00,Timeline Photos,"☆兒童節快樂☆
那些年～
你收過最快樂的兒童節禮物🎁是什麼呢？！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1754114648166429/?type=3,44,303,1.0
1556276644616898_1752580854986475,2017-03-31 15:05:29,Timeline Photos,"😜4月特別放送😝
快前往下面網址，輸入你的ID和圖片中的序號吧！拿走水晶囉～
只有一天❗
＊水晶序號輸入網址：https://www.cookierun.com/zh-tw/coupon
＊領取期限：2017年4月1日23:00為止",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1752580854986475/?type=3,184,601,24.0
1556276644616898_1751640725080488,2017-03-29 05:13:40,Timeline Photos,"🌸春天造句活動來囉🌸  送你水晶～💎

讓我們一起迎接可愛溫暖的春天吧！
期待大家的創意文❤

✔參加方法：用 「春」 「天」 開頭造出兩行句子
範例：
「春」暖花開 
「天」天一起跑跑薑餅人！

✔抽出10位幸運玩家，將能獲得3000顆水晶優惠券

✔另外！本活動貼文按讚數達到500的話
再送給所有玩家300顆水晶！

活動時間：3月29日起 至 4月4日 23:59止

得獎名單發表日：4月5日 (三)",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1751640725080488/?type=3,541,1063,13.0
1556276644616898_1751263608451533,2017-03-28 09:00:00,Timeline Photos,"別忘了餅乾加油團🌟
幫用心跑跑的你～加油打氣！！！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1751263608451533/?type=3,35,172,
1556276644616898_1749499715294589,2017-03-27 09:00:00,Photos from 跑跑薑餅人：烤箱大逃亡's post,"最終回❗❗
☆純Kki作家的「餅乾英雄」第8集☆

感謝各位的收看～👏",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1749498878628006/?type=3,6,142,3.0
1556276644616898_1749555378622356,2017-03-25 09:00:00,,"🎮跑跑團隊的挑戰🎮
記憶小島最後一關任務來囉！！",video,https://www.facebook.com/cookierunzh/videos/1749555378622356/,113,498,7.0
1556276644616898_1748495545395006,2017-03-24 11:00:00,Timeline Photos,"謝謝跑跑玩家的厚愛😀
跑跑薑餅人～突破9⃣0⃣0⃣萬玩家囉！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1748495545395006/?type=3,56,411,1.0
1556276644616898_1747977465446814,2017-03-21 06:40:00,Timeline Photos,"⏰ 更新跑跑的時間到囉！
快來吧！遊戲中見～！！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1747977465446814/?type=3,190,341,1.0
